Date,Open,High,Low,Close,Volume,Currency
2021-01-01,28951.7,29627.1,28712.4,29359.9,100902,USD
2021-01-02,29359.7,33233.5,29008.0,32193.3,240865,USD
2021-01-03,32192.9,34755.9,32029.6,32958.9,155210,USD
2021-01-04,33016.6,33587.5,28204.5,32022.6,255269,USD
2021-01-05,32015.4,34414.7,30010.5,33991.5,202128,USD
2021-01-06,33999.3,36934.8,33408.3,36793.2,227557,USD
2021-01-07,36798.5,40340.9,36361.2,39460.2,249603,USD
2021-01-08,39466.4,41921.7,36613.4,40599.3,251285,USD
2021-01-09,40607.2,41363.5,38775.1,40151.9,128422,USD
2021-01-10,40149.7,41362.4,35141.6,38192.2,215784,USD
2021-01-11,38195.3,38217.2,30411.6,35544.3,251044,USD
2021-01-12,35426.0,36598.7,32572.7,34076.1,241927,USD
2021-01-13,34061.2,37764.6,32451.9,37382.2,209930,USD
2021-01-14,37383.4,40054.3,36772.1,39175.7,172395,USD
2021-01-15,39175.7,39715.0,34488.7,36845.8,118423,USD
2021-01-16,36751.8,37931.7,35408.4,36019.5,137020,USD
2021-01-17,36020.1,36801.3,33883.5,35839.6,126824,USD
2021-01-18,35838.2,37436.8,34801.0,36613.2,111519,USD
2021-01-19,36630.6,37821.0,36001.4,36002.9,79110,USD
2021-01-20,35862.1,36384.4,33444.5,35476.3,153609,USD
2021-01-21,35472.3,35591.1,30101.8,30842.1,253273,USD
2021-01-22,30838.7,33821.2,28871.2,33000.5,243087,USD
2021-01-23,32994.1,33441.4,31418.2,32088.9,100702,USD
2021-01-24,32088.5,33034.8,30982.9,32241.3,88207,USD
2021-01-25,32244.3,34854.3,31967.4,32252.3,142434,USD
2021-01-26,32244.1,32917.7,30850.0,32502.1,139836,USD
2021-01-27,32499.6,32545.4,29290.4,30404.0,194350,USD
2021-01-28,30408.9,33790.8,29911.9,33374.8,167385,USD
2021-01-29,33381.7,38546.0,31953.3,34301.8,297730,USD
2021-01-30,34300.0,34920.9,32908.5,34283.1,128567,USD
2021-01-31,34281.6,34348.3,32189.9,33108.1,101918,USD
2021-02-01,33106.8,34685.6,32324.9,33515.7,126324,USD
2021-02-02,33514.0,35976.1,33462.4,35485.2,120847,USD
2021-02-03,35486.9,37646.8,35401.5,37646.8,131026,USD
2021-02-04,37648.9,38707.9,36380.8,36982.1,151440,USD
2021-02-05,36976.4,38303.6,36640.0,38297.6,100604,USD
2021-02-06,38300.6,40939.7,38275.3,39256.6,156019,USD
2021-02-07,39228.9,39691.7,37381.6,38852.9,125369,USD
2021-02-08,38853.6,46596.4,38057.0,46395.7,248473,USD
2021-02-09,46396.4,48143.5,45104.7,46508.6,193874,USD
2021-02-10,46507.8,47295.3,43800.5,44836.0,151834,USD
2021-02-11,44834.8,48622.1,44041.1,47990.7,145765,USD
2021-02-12,47995.0,48927.4,46218.6,47371.7,133731,USD
2021-02-13,47373.1,48097.3,46270.5,47168.7,89419,USD
2021-02-14,47172.1,49695.1,47051.9,48643.4,106500,USD
2021-02-15,48611.1,48936.5,45786.1,47936.3,123177,USD
2021-02-16,47934.2,50515.8,47044.4,49169.7,141368,USD
2021-02-17,49161.3,52577.7,49018.1,52079.2,140034,USD
2021-02-18,52094.5,52524.0,50941.6,51582.2,94346,USD
2021-02-19,51590.1,56238.5,50816.8,55906.6,139433,USD
2021-02-20,55922.0,57523.8,54124.1,55923.7,127850,USD
2021-02-21,55907.6,58335.1,55502.7,57433.8,87260,USD
2021-02-22,57437.6,57480.8,48353.8,54111.8,244947,USD
2021-02-23,54114.1,54115.0,45093.8,48911.2,315066,USD
2021-02-24,48911.1,51311.8,47031.7,49697.5,153753,USD
2021-02-25,49695.9,52013.8,46773.7,46928.5,83218,USD
2021-02-26,46928.5,48413.9,44248.2,46345.6,189408,USD
2021-02-27,46333.1,48335.1,45059.4,46136.7,98753,USD
2021-02-28,46136.0,46582.0,43100.6,45164.0,135075,USD
2021-03-01,45160.5,49774.0,45008.8,49595.5,137518,USD
2021-03-02,49595.6,50191.9,47100.6,48424.2,102098,USD
2021-03-03,48422.2,52567.9,48159.2,50395.1,44927,USD
2021-03-04,50388.0,51757.7,47521.8,48428.0,9557,USD
2021-03-05,48363.6,49429.4,46370.1,48792.5,113639,USD
2021-03-06,48798.7,49191.8,47132.8,48855.6,66659,USD
2021-03-07,48899.0,51434.1,48890.6,50982.3,82912,USD
2021-03-08,50988.9,52384.9,49338.1,52311.0,68140,USD
2021-03-09,52352.4,54880.6,51941.3,54879.0,114064,USD
2021-03-10,54882.7,57328.7,53073.6,55851.9,140955,USD
2021-03-11,55851.2,58135.0,54351.8,57799.5,129634,USD
2021-03-12,57806.2,58052.3,55134.5,57265.1,116959,USD
2021-03-13,57267.4,61795.8,56118.8,61195.3,134637,USD
2021-03-14,61192.7,61673.7,59113.7,59113.7,80286,USD
2021-03-15,59117.4,60565.9,55088.8,55791.3,117706,USD
2021-03-16,55619.5,56889.7,53342.6,56889.7,128510,USD
2021-03-17,56892.9,58933.2,54253.2,58913.5,118260,USD
2021-03-18,58911.8,60088.0,57099.6,57656.0,102624,USD
2021-03-19,57645.0,59448.3,56305.1,58088.0,83976,USD
2021-03-20,58084.1,59882.1,57863.0,58093.4,67826,USD
2021-03-21,58097.4,58583.8,55583.3,57383.8,77474,USD
2021-03-22,57379.3,58379.9,53784.2,54158.3,95526,USD
2021-03-23,54117.5,55813.8,52992.3,54452.5,84840,USD
2021-03-24,54309.1,57169.4,51725.4,52325.4,137911,USD
2021-03-25,52330.0,53175.4,50441.3,51322.3,143354,USD
2021-03-26,51317.4,55074.1,51302.0,55036.1,100295,USD
2021-03-27,55033.8,56531.1,54010.2,55862.9,73865,USD
2021-03-28,55856.9,56504.2,54711.3,55765.2,58706,USD
2021-03-29,55764.7,58392.6,54951.1,57616.2,107905,USD
2021-03-30,57614.6,59366.9,57077.1,58771.3,86206,USD
2021-03-31,58771.4,59795.6,56991.6,58763.7,98064,USD
2021-04-01,58763.2,59406.5,58040.7,58718.3,69044,USD
2021-04-02,58718.2,60134.9,58466.5,58977.3,72374,USD
2021-04-03,58976.8,59770.5,56906.7,57059.9,68742,USD
2021-04-04,57059.7,58464.8,56470.6,58199.9,57212,USD
2021-04-05,58202.3,59205.1,56842.7,58993.4,54130,USD
2021-04-06,59169.0,59487.0,57403.3,57996.3,77152,USD
2021-04-07,57996.3,58627.7,55489.3,55948.7,110690,USD
2021-04-08,55948.0,58136.7,55721.6,58077.4,64775,USD
2021-04-09,58076.8,58890.9,57686.0,58118.7,59222,USD
2021-04-10,58127.4,61229.0,57900.0,59748.4,103721,USD
2021-04-11,59772.4,60667.1,59250.3,59978.7,58202,USD
2021-04-12,59982.1,61259.9,59569.2,59863.8,81882,USD
2021-04-13,59863.6,63659.0,59839.4,63540.9,126555,USD
2021-04-14,63544.2,64778.0,61366.3,62980.4,130427,USD
2021-04-15,62978.6,63729.1,62067.5,63216.0,76972,USD
2021-04-16,63211.6,63518.5,60027.3,61379.7,136847,USD
2021-04-17,61358.3,62509.1,59672.1,60041.9,84082,USD
2021-04-18,60043.2,60362.1,51817.6,56207.1,216806,USD
2021-04-19,56208.1,57517.0,54272.3,55646.1,117514,USD
2021-04-20,55645.1,57054.9,53422.5,56483.2,115485,USD
2021-04-21,56479.5,56764.4,53657.6,53820.2,100263,USD
2021-04-22,53821.3,55408.4,50590.9,51729.5,168125,USD
2021-04-23,51707.1,52099.9,47659.4,51143.6,214455,USD
2021-04-24,51140.8,51183.0,48775.2,50088.9,82250,USD
2021-04-25,50088.2,50532.4,47098.5,48963.6,59201,USD
2021-04-26,48963.5,54320.9,48815.9,54020.5,129761,USD
2021-04-27,54011.1,55427.8,53345.0,55036.5,84077,USD
2021-04-28,55036.0,56419.9,53876.4,54841.4,86958,USD
2021-04-29,54838.6,55173.7,52400.0,53560.8,83904,USD
2021-04-30,53562.3,57925.6,53088.7,57720.3,103743,USD
2021-05-01,57719.1,58449.4,57029.5,57807.1,63407,USD
2021-05-02,57807.2,57868.4,56110.5,56603.8,53610,USD
2021-05-03,56605.8,58925.1,56562.4,57169.8,89236,USD
2021-05-04,57170.6,57201.3,53741.5,53741.5,132333,USD
2021-05-05,53872.5,57936.4,53872.5,57441.3,119822,USD
2021-05-06,57441.0,58364.9,55294.5,56405.4,109015,USD
2021-05-07,56411.4,58639.3,55300.1,57337.2,110013,USD
2021-05-08,57330.3,59471.1,56972.2,58840.1,101269,USD
2021-05-09,58840.6,59227.0,56414.4,58238.3,103593,USD
2021-05-10,58251.2,59523.9,53678.3,55848.9,142610,USD
2021-05-11,55846.1,56871.1,54550.4,56695.7,96471,USD
2021-05-12,56694.5,57938.5,49187.0,49384.2,160735,USD
2021-05-13,49398.2,51337.3,46331.1,49704.6,236707,USD
2021-05-14,49704.9,51459.2,48874.0,49839.8,118838,USD
2021-05-15,49839.1,50640.9,46650.2,46708.8,131912,USD
2021-05-16,46729.3,49764.3,43920.8,46426.4,180070,USD
2021-05-17,46424.2,46545.4,42201.5,43541.3,274761,USD
