Date,Open,High,Low,Close,Volume,Currency
2021-01-01,37.33,38.93,36.98,37.72,3236787,USD
2021-01-02,37.73,38.46,36.81,38.23,3940784,USD
2021-01-03,38.24,41.64,37.78,41.22,6339491,USD
2021-01-04,41.25,43.21,38.09,41.1,6865242,USD
2021-01-05,41.12,41.79,38.86,41.79,4875373,USD
2021-01-06,41.79,42.19,40.5,42.19,5235007,USD
2021-01-07,42.22,44.47,41.41,43.64,6788019,USD
2021-01-08,43.62,43.65,40.34,42.33,4689531,USD
2021-01-09,42.33,44.02,41.51,43.83,3555031,USD
2021-01-10,43.84,45.12,40.14,42.43,5554324,USD
2021-01-11,42.42,42.44,35.1,38.26,8518853,USD
2021-01-12,38.16,40.01,37.13,38.25,4378784,USD
2021-01-13,38.24,40.42,37.05,40.12,3908653,USD
2021-01-14,40.12,41.93,39.65,41.88,3585095,USD
2021-01-15,41.88,42.54,38.87,40.91,3773942,USD
2021-01-16,40.92,44.1,40.68,43.1,3555508,USD
2021-01-17,43.1,46.69,40.94,45.78,4258521,USD
2021-01-18,45.91,46.88,44.07,45.35,3370845,USD
2021-01-19,45.36,47.19,41.75,42.62,5769828,USD
2021-01-20,42.6,42.76,40.29,42.57,4233928,USD
2021-01-21,42.57,42.63,38.37,38.68,3881846,USD
2021-01-22,38.69,41.35,36.92,40.87,3465529,USD
2021-01-23,40.87,41.83,39.5,40.92,2793309,USD
2021-01-24,40.92,42.2,40.36,41.82,2586315,USD
2021-01-25,41.82,43.38,40.57,41.78,3144580,USD
2021-01-26,41.78,42.51,39.87,41.74,3242631,USD
2021-01-27,41.74,42.05,39.67,40.99,2934867,USD
2021-01-28,40.97,43.08,40.36,42.47,3351652,USD
2021-01-29,42.48,44.0,41.84,42.87,3913279,USD
2021-01-30,42.88,45.09,42.6,44.76,3239694,USD
2021-01-31,44.77,45.78,43.35,44.27,2920357,USD
2021-02-01,44.31,52.32,43.43,51.42,7970880,USD
2021-02-02,51.42,52.99,49.26,50.99,5779036,USD
2021-02-03,50.99,52.56,49.82,52.13,3411183,USD
2021-02-04,52.15,56.65,51.46,55.66,4521007,USD
2021-02-05,55.66,68.72,55.66,67.75,5754182,USD
2021-02-06,67.74,75.43,61.96,72.58,8968315,USD
2021-02-07,72.86,74.62,64.35,68.4,6250007,USD
2021-02-08,68.41,79.75,67.72,79.71,8522796,USD
2021-02-09,79.73,115.33,78.23,107.6,13653406,USD
2021-02-10,107.61,148.27,107.61,128.72,18371284,USD
2021-02-11,128.73,132.76,118.07,124.03,6543473,USD
2021-02-12,124.03,140.93,121.1,136.52,6218553,USD
2021-02-13,136.64,138.47,125.07,133.07,4202842,USD
2021-02-14,133.09,138.78,128.53,135.98,4898532,USD
2021-02-15,135.97,142.07,118.64,129.98,5263135,USD
2021-02-16,129.99,133.43,126.34,130.09,3572177,USD
2021-02-17,130.09,175.33,126.91,165.38,10822080,USD
2021-02-18,165.38,199.66,163.11,195.74,11909143,USD
2021-02-19,195.74,346.82,195.07,332.74,21226466,USD
2021-02-20,332.74,334.15,223.93,254.36,14416974,USD
2021-02-21,254.33,308.54,249.64,293.76,11494646,USD
2021-02-22,293.77,295.15,222.44,267.43,13339217,USD
2021-02-23,267.42,268.69,188.71,231.72,16499651,USD
2021-02-24,231.71,280.66,213.89,254.26,12297680,USD
2021-02-25,254.26,264.46,232.19,233.7,7221100,USD
2021-02-26,233.7,238.71,209.98,222.08,7816969,USD
2021-02-27,222.08,237.7,219.32,225.07,4461320,USD
2021-02-28,225.54,228.47,195.22,210.04,5995977,USD
2021-03-01,210.04,259.51,209.51,254.72,8316371,USD
2021-03-02,254.73,264.41,227.61,239.46,5705637,USD
2021-03-03,239.48,254.37,236.51,240.85,4512986,USD
2021-03-04,240.62,249.66,225.65,229.7,4240066,USD
2021-03-05,229.69,230.91,215.91,225.63,3903256,USD
2021-03-06,225.64,232.25,219.73,226.26,2843771,USD
2021-03-07,226.26,243.72,225.2,240.02,3710689,USD
2021-03-08,240.03,242.78,229.09,240.59,3206127,USD
2021-03-09,240.59,297.08,235.87,292.99,8178929,USD
2021-03-10,293.0,295.31,268.74,278.15,6319725,USD
2021-03-11,278.15,314.44,272.98,290.07,6907930,USD
2021-03-12,290.07,290.22,251.44,263.42,6188882,USD
2021-03-13,263.42,283.56,255.95,275.89,4111929,USD
2021-03-14,275.89,276.77,264.25,264.25,2579350,USD
2021-03-15,264.21,267.59,250.05,254.22,3543532,USD
2021-03-16,254.24,259.13,241.44,258.28,3192006,USD
2021-03-17,258.29,271.04,249.02,269.86,3016860,USD
2021-03-18,269.85,277.73,257.7,261.09,3330790,USD
2021-03-19,261.28,269.0,255.39,263.15,2409382,USD
2021-03-20,263.14,274.49,261.65,264.1,2518087,USD
2021-03-21,264.39,267.92,257.12,264.74,2115839,USD
2021-03-22,264.74,276.81,253.43,255.03,3441857,USD
2021-03-23,254.85,262.75,252.27,255.43,2816521,USD
2021-03-24,255.45,268.6,240.41,248.59,3501131,USD
2021-03-25,248.6,249.72,225.9,234.25,3737589,USD
2021-03-26,233.96,255.09,233.95,254.99,2793042,USD
2021-03-27,254.99,275.91,249.86,269.32,3286273,USD
2021-03-28,269.31,281.24,261.24,268.87,3495722,USD
